"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 15 19:32:34 EST 2020","Tue Dec 15 19:32:36 EST 2020","1948","SmokeTest","SmokeTest","sailotech.com.EzScheduler.TestPages.DoctorLoginTest","sailotech.com.EzScheduler.TestPages.DoctorLoginTest","TC_01_navigate_homepage_to_Doctor_login","Navigate_homepage_to_Doctor_loginRegister",""
"broken","Tue Dec 15 21:29:16 EST 2020","Tue Dec 15 21:29:16 EST 2020","1","SmokeTest","SmokeTest","sailotech.com.EzScheduler.TestPages.AdminCredentialsTest","sailotech.com.EzScheduler.TestPages.AdminCredentialsTest","beforeClass","beforeClass",""
"passed","Fri Jan 29 16:37:41 EST 2021","Fri Jan 29 16:37:55 EST 2021","13666","Default suite","Default test","com.sailotech.ezscheduler.Testpages.AdminUnverfiedtest","com.sailotech.ezscheduler.Testpages.AdminUnverfiedtest","TC_09_AdminVerifyDoctor","After Provider Registered in EzScheduler Admin is Verifying the Unverified Doctors",""
"broken","Thu Jan 21 10:10:42 EST 2021","Thu Jan 21 10:11:13 EST 2021","30430","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Consumerscheduleanapptest","com.sailotech.ezscheduler.Testpages.Consumerscheduleanapptest","TC_14_PatientScheduleAnAppointment","consumer schedule an Appointment with provider",""
"passed","Wed Feb 17 14:46:49 EST 2021","Wed Feb 17 14:47:00 EST 2021","10709","Default suite","Default test","com.sailotech.testautomation.ezscheduler.tests.Providergenerateslots_test","com.sailotech.testautomation.ezscheduler.tests.Providergenerateslots_test","TC_05_ProviderLogin","Navigate To Provider Login page",""
"broken","Sun Jan 10 11:36:05 EST 2021","Sun Jan 10 11:36:05 EST 2021","2","SmokeTest","SmokeTest","com.sailotech.ezscheduler.testpages.Providerrregistrationtest","com.sailotech.ezscheduler.testpages.Providerrregistrationtest","beforeClass","beforeClass",""
"passed","Mon Jan 18 11:25:50 EST 2021","Mon Jan 18 11:26:03 EST 2021","12982","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Adminlogintest","com.sailotech.ezscheduler.Testpages.Adminlogintest","TC_02_Navigate_to_AdminLogin","Navigate_to_AdminLogin",""
"passed","Wed Feb 10 16:55:48 EST 2021","Wed Feb 10 16:55:57 EST 2021","8904","Default suite","Default test","com.sailotech.ezscheduler.Testpages.ConsumerOTPTest","com.sailotech.ezscheduler.Testpages.ConsumerOTPTest","TC_15_Consumer_Credentialsfrom_Mail","Reading Consumer credentials/OTP from consumer mail",""
"broken","Thu Jan 14 17:16:11 EST 2021","Thu Jan 14 17:16:21 EST 2021","9916","Default suite","Default test","com.sailotech.ezscheduler.Testpages.Providerrcancelappointmentstest","com.sailotech.ezscheduler.Testpages.Providerrcancelappointmentstest","TC_01_DoctorCancelAnAppointmentsOrSlots","DoctorCancelAnAppointments/Slots",""
"skipped","Wed Feb 17 13:48:59 EST 2021","Wed Feb 17 13:48:59 EST 2021","0","Default suite","Default test","com.sailotech.testautomation.ezscheduler.tests.Consumerscheduleannapp_test","com.sailotech.testautomation.ezscheduler.tests.Consumerscheduleannapp_test","TC_16_PatientLogout","Consumer Logout from EzScheduler Website",""
"broken","Sun Jan 03 17:11:11 EST 2021","Sun Jan 03 17:11:11 EST 2021","1","PatientLogin","PatientLogin","com.sailotech.ezscheduler.testpages.Consumerscheduleanapptest","com.sailotech.ezscheduler.testpages.Consumerscheduleanapptest","stopRecording","stopRecording",""
"passed","Sun Dec 13 09:17:48 EST 2020","Sun Dec 13 09:17:55 EST 2020","6916","SmokeTest","SmokeTest","sailotech.com.EzScheduler.GenerateSlots.GenerateSlotsTest","sailotech.com.EzScheduler.GenerateSlots.GenerateSlotsTest","TC_02_DoctorLogin","Navigate_homepage_to_DoctorLogin",""
